arm	status	historical_config	historical_config_sha256	training_experiment	fixed_template	gpu_count	img_batch_size	grad_accum_steps	effective_batch
Sphere	FINAL	train_v2c_mri_only_icosphere_clean_2gpu.yaml	53aaad4f16da9f1450a3f89dde592f7b580ba06d73098a3976cc720e95c422e6	exp37_hcpya+oasis1_onlyMRI_icosphere_clean_2gpu	v2c_icosphere_fixed_template	2	1	6	12
Random	FINAL	train_v2c_mri_only_oasis_random_sub0447_unsmoothed_2gpu.yaml	42a80fc46e5b25299cd3b6b83a5bb0c307175bb2ecee5e1278eb5933dc5e3d3f	exp36_hcpya+oasis1_onlyMRI_oasis_sub0447_unsmoothed_2gpu	v2c_oasis_random_unsmoothed_seed2025_fixed_template	2	1	6	12
Original150k	FINAL	train_v2c_mri_only_sub298051_taubin150000_3gpu.yaml	89e8bba62802c0333e8c7b5c0b64e6e7a08d09373a212a3a06e6e89c8ce7ecff	exp41_hcpya+oasis1_onlyMRI_sub298051_taubin150000_3gpu	v2c_sub298051_taubin150000_fixed_template	3	1	4	12
Curv0	FINAL	train_v2c_mri_only_sub298051_caware150000_edgeonly062_raw_3gpu.yaml	8dc5b37bffc409e32689daee4aa20446f3b4a73fe8a9fafbda204afab684150a	exp42_hcpya+oasis1_onlyMRI_sub298051_caware150000_edgeonly062_raw_3gpu	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_fixed_template	3	1	4	12
Curv1	FINAL	train_v2c_mri_only_sub298051_caware150000_edgeonly062_curv1_raw_3gpu.yaml	3e43b54171119392d12458a98fa0b3b6341d9c8ca785398279ca9a1fb17e7706	exp42_hcpya+oasis1_onlyMRI_sub298051_caware150000_edgeonly062_raw_3gpu_curv1	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_curv1_fixed_template	3	1	4	12
