arm	status	training_experiment	checkpoint_bytes	sha256	fixed_template
Sphere	FINAL	exp37_hcpya+oasis1_onlyMRI_icosphere_clean_2gpu	21311114	555f198379db1aa5f585aec586a939ffbf2680fbf3d86c06fb0979f6a701e8a1	v2c_icosphere_fixed_template
Random	FINAL	exp36_hcpya+oasis1_onlyMRI_oasis_sub0447_unsmoothed_2gpu	21311114	99c94f5f7cff441b7fd34dc930addc88d02cdd7b9bd51d0bef88d26c627aa79c	v2c_oasis_random_unsmoothed_seed2025_fixed_template
Original150k	FINAL	exp41_hcpya+oasis1_onlyMRI_sub298051_taubin150000_3gpu	21311114	889dff97fceff386b2d09613eef1f00f463df907417aa1be5212a435f788ae12	v2c_sub298051_taubin150000_fixed_template
Curv0	FINAL	exp42_hcpya+oasis1_onlyMRI_sub298051_caware150000_edgeonly062_raw_3gpu	21311114	0e852e3d36202ca1faed574ca791b119d0a3b64508388b06f468361b9c99a35f	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_fixed_template
Curv1	FINAL	exp42_hcpya+oasis1_onlyMRI_sub298051_caware150000_edgeonly062_raw_3gpu_curv1	21311114	886bbb2f5a49a7b7a71bb345bec5c37a253220d431cd0e532e0af6b20659dc70	v2c_sub298051_collisionaware_taubin150000_lccclean_gc_edgeonly062_curv1_fixed_template
Sphere_exp35_legacy	SUPERSEDED_BY_EXP37	exp35_hcpya+oasis1_onlyMRI_icosphere_2gpu	21311114	fc1d28e0cf8e4ed3a738503f3c1401ba90a21c515fa72deee363a24fa3f24a27	v2c_icosphere_fixed_template
