artifact	role	sha256
narval_repro_source_bundle_20260828.tar.gz	historical Narval training/template/remeshing source evidence	589de373f4e7e24e33e79f628968ac52f86357df6297d9640bd67a10e46f92da
narval_checkpoint_manifest_20260828.tar.gz	Narval-to-Neuro-Ix checkpoint identity evidence	842f1bf5e8b73981b5cc7492c51213f5a54a3c5d037003573913e673002084a3
neuroix_repro_source_bundle_20260828.tar.gz	historical Neuro-Ix inference/evaluation source evidence	7fda88d73b48d062a2028697b6efa77ab59960eb82c6e7fd3bceeabbd49eb35a
neuroix_checkpoint_manifest_20260828.tar.gz	Neuro-Ix checkpoint identity and final-arm mapping evidence	a5285b611b38f4b2e29da1dbeb9e826005a563613dd6b3f9e4dc81838655c414
